"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000282222",0,NA,NA,NA,NA,NA
"ENSG00000282221",0,NA,NA,NA,NA,NA
"ENSG00000212040",0,NA,NA,NA,NA,NA
"ENSG00000110514",30.7460603530101,0.184406233020346,0.86723054053488,0.212638075345697,0.831609270696643,0.999494009608159
"ENSG00000086015",24.4163786056502,0.201599295669074,1.00085365400669,0.201427346407756,0.840364434052193,0.999494009608159
"ENSG00000211769",0,NA,NA,NA,NA,NA
"ENSG00000211768",0,NA,NA,NA,NA,NA
"ENSG00000250337",0.5,-1.02227063126109,1.417311339635,-0.721274572970224,0.470740597953007,NA
"ENSG00000255071",6.7356954585383,0.372027386585156,1.41006773352502,0.263836536174845,0.791905879952455,0.999494009608159
"ENSG00000211767",0.278998777839657,0.863391376245985,1.36982296785322,0.630294130342325,0.528502162593717,NA
"ENSG00000211766",0,NA,NA,NA,NA,NA
"ENSG00000211765",0,NA,NA,NA,NA,NA
"ENSG00000211764",0,NA,NA,NA,NA,NA
"ENSG00000201510",0,NA,NA,NA,NA,NA
"ENSG00000169740",41.592806448125,0.55477827070266,0.821269044740488,0.675513431628198,0.499349620716709,0.999494009608159
"ENSG00000215869",0.251534075604341,-0.8539852702656,1.36319779231511,-0.626457345426948,0.531015006133967,NA
"ENSG00000261609",7.06742950168516,-0.316202057466998,1.26588589281314,-0.249787172178932,0.802751940477138,0.999494009608159
"ENSG00000169744",42.6896671240629,-4.62196404473119,0.99838839342881,-4.62942485625035,3.66682756526599e-06,0.000343323706851571
"ENSG00000261607",0,NA,NA,NA,NA,NA
"ENSG00000261606",0,NA,NA,NA,NA,NA
"ENSG00000215866",0,NA,NA,NA,NA,NA
"ENSG00000261604",1.92883284849398,0.349694494393163,1.58291548608539,0.220917981703477,0.825156295939656,NA
"ENSG00000261603",0,NA,NA,NA,NA,NA
"ENSG00000261602",0,NA,NA,NA,NA,NA
"ENSG00000261600",0,NA,NA,NA,NA,NA
"ENSG00000251074",0,NA,NA,NA,NA,NA
"ENSG00000168298",0,NA,NA,NA,NA,NA
"ENSG00000255070",0,NA,NA,NA,NA,NA
"ENSG00000168297",20.778387188438,0.733903314141992,0.953360146937115,0.769806999484741,0.44141438707298,0.999494009608159
"ENSG00000266460",0,NA,NA,NA,NA,NA
"ENSG00000266461",0,NA,NA,NA,NA,NA
"ENSG00000266466",0,NA,NA,NA,NA,NA
"ENSG00000233578",0,NA,NA,NA,NA,NA
"ENSG00000168291",75.9953584760198,0.669633599733979,0.731897624657334,0.914927958739439,0.360229451263861,0.978270974228369
"ENSG00000262558",0,NA,NA,NA,NA,NA
"ENSG00000270591",0,NA,NA,NA,NA,NA
"ENSG00000262554",1.50460222681302,-2.02232045606001,1.5773176856929,-1.28212627957165,0.199798351573667,NA
"ENSG00000254141",0,NA,NA,NA,NA,NA
"ENSG00000225108",0.45694509760489,-0.0672598095465024,1.43331910300479,-0.0469259144076848,0.962572274130304,NA
"ENSG00000225100",0,NA,NA,NA,NA,NA
"ENSG00000225101",0.83699633351897,1.11810363673881,1.44175421853185,0.775516119437735,0.438034744199122,NA
"ENSG00000225102",0,NA,NA,NA,NA,NA
"ENSG00000225105",0,NA,NA,NA,NA,NA
"ENSG00000225106",1.02899877783966,-0.510651680370013,1.52366549559032,-0.335146842826002,0.737514318613272,NA
"ENSG00000225107",0.413890195209781,0.977273531069721,1.40661889030212,0.69476781366118,0.487200822072474,NA
"ENSG00000226457",0.278998777839657,0.863391376245985,1.36982296785322,0.630294130342325,0.528502162593717,NA
"ENSG00000226455",0,NA,NA,NA,NA,NA
"ENSG00000226454",0,NA,NA,NA,NA,NA
"ENSG00000149792",37.1414967102844,0.181582927357972,0.847159036657509,0.214343375329399,0.830279295323556,0.999494009608159
"ENSG00000226450",0,NA,NA,NA,NA,NA
"ENSG00000141854",3.92971937722274,0.462440469985488,1.49413051719662,0.309504735137294,0.756937610760863,NA
"ENSG00000149798",0,NA,NA,NA,NA,NA
"ENSG00000238419",0,NA,NA,NA,NA,NA
"ENSG00000283571",0,NA,NA,NA,NA,NA
"ENSG00000212153",0,NA,NA,NA,NA,NA
"ENSG00000183055",0.503068151208682,-1.02341732538069,1.41761935137109,-0.721926745984995,0.470339516404382,NA
"ENSG00000183054",11.8130432777786,-0.145044061413162,1.15286698578817,-0.125811618513823,0.899881044612326,0.999494009608159
"ENSG00000283575",0,NA,NA,NA,NA,NA
"ENSG00000283576",0,NA,NA,NA,NA,NA
"ENSG00000283579",0,NA,NA,NA,NA,NA
"ENSG00000283578",0,NA,NA,NA,NA,NA
"ENSG00000181562",0,NA,NA,NA,NA,NA
"ENSG00000250566",0,NA,NA,NA,NA,NA
"ENSG00000259244",0.503068151208682,-1.02341732538069,1.41761935137109,-0.721926745984995,0.470339516404382,NA
"ENSG00000250564",0,NA,NA,NA,NA,NA
"ENSG00000250565",3.07558727846627,0.600384212462218,1.57119684318687,0.382119029239172,0.702373077615938,NA
"ENSG00000250562",0,NA,NA,NA,NA,NA
"ENSG00000250563",0,NA,NA,NA,NA,NA
"ENSG00000187961",6.84537114041665,1.36766065012101,1.36999001335066,0.998299722474648,0.318134042155696,0.960537110935311
"ENSG00000250561",0,NA,NA,NA,NA,NA
"ENSG00000250568",0,NA,NA,NA,NA,NA
"ENSG00000250569",0,NA,NA,NA,NA,NA
"ENSG00000281591",0,NA,NA,NA,NA,NA
"ENSG00000162840",0,NA,NA,NA,NA,NA
"ENSG00000162843",0,NA,NA,NA,NA,NA
"ENSG00000168484",3.98334117125868,0.453426745691786,1.54666351876185,0.293164440869962,0.769396462628994,NA
"ENSG00000162849",2.01582918201295,2.40734499210658,1.58721410002832,1.51671094155705,0.129339680589642,NA
"ENSG00000283689",0.620835292814671,1.06574438673381,1.42983653162772,0.74536099977846,0.456053514008323,NA
"ENSG00000149243",8.98263982401312,1.33348020099879,1.37555475453994,0.969412665397513,0.332339335569291,0.966393313849864
"ENSG00000184702",5.6684924220228,-2.48762865461004,1.43915104251767,-1.72853896576286,0.083891641351031,0.553840521817983
"ENSG00000259242",0,NA,NA,NA,NA,NA
"ENSG00000283683",0,NA,NA,NA,NA,NA
"ENSG00000283682",0,NA,NA,NA,NA,NA
"ENSG00000283680",0,NA,NA,NA,NA,NA
"ENSG00000283686",0,NA,NA,NA,NA,NA
"ENSG00000184708",12.7258204790899,-0.460755936605216,1.07990686966933,-0.426662659110875,0.669625051977762,0.999494009608159
"ENSG00000184709",0,NA,NA,NA,NA,NA
"ENSG00000206811",0.278998777839657,0.863391376245985,1.36982296785322,0.630294130342325,0.528502162593717,NA
"ENSG00000163462",12.5969187599146,2.55010608712431,1.24278283296129,2.05193217953287,0.0401762539765239,0.359651452027806
"ENSG00000163463",76.7051045413437,0.714966373998948,0.828085999599969,0.863396282927539,0.387919622438648,0.990090458975405
"ENSG00000163464",2.50460222681302,-2.75382206106962,1.58284040276261,-1.73979768033672,0.0818945499541674,NA
"ENSG00000163466",278.519893924672,0.331957173717688,0.648848282936203,0.511609851559594,0.608924089291407,0.999494009608159
"ENSG00000163467",0,NA,NA,NA,NA,NA
"ENSG00000163468",154.78541241693,0.946667788127825,0.704585463035234,1.34358120880005,0.179083849358995,0.793973993650541
"ENSG00000206813",0,NA,NA,NA,NA,NA
"ENSG00000162599",63.087899810471,-1.06699482033613,0.769677499284536,-1.38628818086532,0.165658924396068,0.766936448958579
"ENSG00000162598",0,NA,NA,NA,NA,NA
"ENSG00000267731",0,NA,NA,NA,NA,NA
"ENSG00000272386",0,NA,NA,NA,NA,NA
"ENSG00000162591",95.2601734664312,2.62108778993939,0.759364854740844,3.45168435644011,0.000557099026585382,0.0186916990514324
"ENSG00000267732",0,NA,NA,NA,NA,NA
"ENSG00000267735",0,NA,NA,NA,NA,NA
"ENSG00000029363",57.13607576085,0.141693061161717,0.809518267692997,0.17503380320931,0.861053072452834,0.999494009608159
"ENSG00000267737",0,NA,NA,NA,NA,NA
"ENSG00000162594",0,NA,NA,NA,NA,NA
"ENSG00000263609",0,NA,NA,NA,NA,NA
"ENSG00000263608",0,NA,NA,NA,NA,NA
"ENSG00000206817",0,NA,NA,NA,NA,NA
"ENSG00000118640",81.0296732579625,1.81433680996937,0.835542750411317,2.17144701342477,0.0298973983684513,0.297482664926612
"ENSG00000263600",0,NA,NA,NA,NA,NA
"ENSG00000263603",0.557997555679314,1.03452581518683,1.4221134246608,0.727456612986816,0.466946284633037,NA
"ENSG00000263602",0,NA,NA,NA,NA,NA
"ENSG00000263604",0,NA,NA,NA,NA,NA
"ENSG00000159961",0,NA,NA,NA,NA,NA
"ENSG00000259169",1.47342182649344,0.489963785346502,1.58610077343755,0.308910879782629,0.757389320443767,NA
"ENSG00000253144",0,NA,NA,NA,NA,NA
"ENSG00000253147",0,NA,NA,NA,NA,NA
"ENSG00000201466",0,NA,NA,NA,NA,NA
"ENSG00000253141",0,NA,NA,NA,NA,NA
"ENSG00000115073",46.9149962703191,-0.184968095133541,0.792632038413296,-0.233359347300436,0.815482377919358,0.999494009608159
"ENSG00000253143",0,NA,NA,NA,NA,NA
"ENSG00000253142",0,NA,NA,NA,NA,NA
"ENSG00000259161",0,NA,NA,NA,NA,NA
"ENSG00000259160",0,NA,NA,NA,NA,NA
"ENSG00000259163",0,NA,NA,NA,NA,NA
"ENSG00000259162",0,NA,NA,NA,NA,NA
"ENSG00000259165",0,NA,NA,NA,NA,NA
"ENSG00000253148",0,NA,NA,NA,NA,NA
"ENSG00000259167",0,NA,NA,NA,NA,NA
"ENSG00000259166",0,NA,NA,NA,NA,NA
"ENSG00000213853",51.1518385901877,-1.61950624396405,0.794838629274953,-2.03752835395199,0.0415971235351383,0.366402537619615
"ENSG00000213851",0,NA,NA,NA,NA,NA
"ENSG00000258590",0,NA,NA,NA,NA,NA
"ENSG00000213857",0,NA,NA,NA,NA,NA
"ENSG00000213856",1.31259978249234,-0.187172189495707,1.56022929534268,-0.119964539862455,0.904511238136169,NA
"ENSG00000213854",0,NA,NA,NA,NA,NA
"ENSG00000213859",19.1017349352138,-0.464233170300736,0.992449975187462,-0.467764806193932,0.63995279102004,0.999494009608159
"ENSG00000225816",0,NA,NA,NA,NA,NA
"ENSG00000280881",0,NA,NA,NA,NA,NA
"ENSG00000225814",0,NA,NA,NA,NA,NA
"ENSG00000225815",0,NA,NA,NA,NA,NA
"ENSG00000225813",0,NA,NA,NA,NA,NA
"ENSG00000225811",0,NA,NA,NA,NA,NA
"ENSG00000206846",0,NA,NA,NA,NA,NA
"ENSG00000225818",0,NA,NA,NA,NA,NA
"ENSG00000225819",0,NA,NA,NA,NA,NA
"ENSG00000229306",0,NA,NA,NA,NA,NA
"ENSG00000229307",0,NA,NA,NA,NA,NA
"ENSG00000229305",0,NA,NA,NA,NA,NA
"ENSG00000229302",0,NA,NA,NA,NA,NA
"ENSG00000229303",0,NA,NA,NA,NA,NA
"ENSG00000238489",0,NA,NA,NA,NA,NA
"ENSG00000229301",0,NA,NA,NA,NA,NA
"ENSG00000238485",0,NA,NA,NA,NA,NA
"ENSG00000269911",1.34006448472765,0.292555272859568,1.56249188460995,0.187236347107556,0.851475327863243,NA
"ENSG00000238482",0,NA,NA,NA,NA,NA
"ENSG00000229308",0,NA,NA,NA,NA,NA
"ENSG00000229309",0,NA,NA,NA,NA,NA
"ENSG00000278072",0,NA,NA,NA,NA,NA
"ENSG00000278073",0,NA,NA,NA,NA,NA
"ENSG00000278071",0.620835292814671,1.06574438673381,1.42983653162772,0.74536099977846,0.456053514008323,NA
"ENSG00000240174",0,NA,NA,NA,NA,NA
"ENSG00000278077",0,NA,NA,NA,NA,NA
"ENSG00000278075",0,NA,NA,NA,NA,NA
"ENSG00000055070",99.2357370495284,0.572944181866059,0.715008835678098,0.801310631808754,0.422951837412831,0.999494009608159
"ENSG00000278078",0,NA,NA,NA,NA,NA
"ENSG00000227411",0,NA,NA,NA,NA,NA
"ENSG00000155719",0.75,-1.10639143813029,1.4381045773277,-0.769340043535774,0.441691471393665,NA
"ENSG00000227413",0,NA,NA,NA,NA,NA
"ENSG00000227416",0,NA,NA,NA,NA,NA
"ENSG00000227417",0,NA,NA,NA,NA,NA
"ENSG00000162337",60.5562225407172,-2.63495056771063,0.953442457954905,-2.76361782058929,0.00571644503498542,0.101768824284811
"ENSG00000155714",0,NA,NA,NA,NA,NA
"ENSG00000182010",0,NA,NA,NA,NA,NA
"ENSG00000182013",16.3377471821321,2.20102643220492,1.1724235321809,1.87733047980592,0.0604728132239451,0.461858827281369
"ENSG00000244748",0,NA,NA,NA,NA,NA
"ENSG00000186704",0.45694509760489,-0.0672598095465024,1.43331910300479,-0.0469259144076848,0.962572274130304,NA
"ENSG00000251779",0,NA,NA,NA,NA,NA
"ENSG00000251774",0,NA,NA,NA,NA,NA
"ENSG00000251595",3.88617604885808,-1.54137453551322,1.49750606849489,-1.02929435008061,0.303341377455507,NA
"ENSG00000251776",0,NA,NA,NA,NA,NA
"ENSG00000274978",0.25,-0.852807347300044,1.36274813213915,-0.625799681678054,0.531446340663414,NA
"ENSG00000251770",0,NA,NA,NA,NA,NA
"ENSG00000245293",0.754602226813023,-1.10743241157646,1.4383403884732,-0.769937645116123,0.441336881836265,NA
"ENSG00000251773",0,NA,NA,NA,NA,NA
"ENSG00000164659",19.7698317351196,-2.09791566585907,1.02784207062646,-2.04108756180841,0.041242124479973,0.365245011058065
"ENSG00000242748",0,NA,NA,NA,NA,NA
"ENSG00000242747",0.278998777839657,0.863391376245985,1.36982296785322,0.630294130342325,0.528502162593717,NA
"ENSG00000164651",0,NA,NA,NA,NA,NA
"ENSG00000242741",0,NA,NA,NA,NA,NA
"ENSG00000164654",22.9692651493869,0.101196052997745,0.934748437007155,0.108260200275649,0.913789292586806,0.999494009608159
"ENSG00000114978",81.7611396457191,0.152486706265867,0.747653921245462,0.203953596621082,0.838389761174822,0.999494009608159
"ENSG00000252236",0,NA,NA,NA,NA,NA
"ENSG00000252237",0,NA,NA,NA,NA,NA
"ENSG00000252230",0,NA,NA,NA,NA,NA
"ENSG00000252231",0,NA,NA,NA,NA,NA
"ENSG00000252233",0,NA,NA,NA,NA,NA
"ENSG00000252238",0,NA,NA,NA,NA,NA
"ENSG00000256925",0,NA,NA,NA,NA,NA
"ENSG00000161021",7.93737826577108,-0.946448168250642,1.24771235966093,-0.758546760334921,0.448123730920201,0.999494009608159
"ENSG00000256922",0,NA,NA,NA,NA,NA
"ENSG00000256923",0,NA,NA,NA,NA,NA
"ENSG00000226331",0,NA,NA,NA,NA,NA
"ENSG00000261608",0,NA,NA,NA,NA,NA
"ENSG00000256928",0,NA,NA,NA,NA,NA
"ENSG00000254694",0,NA,NA,NA,NA,NA
"ENSG00000254695",0,NA,NA,NA,NA,NA
"ENSG00000254697",0,NA,NA,NA,NA,NA
"ENSG00000254690",0,NA,NA,NA,NA,NA
"ENSG00000254691",0,NA,NA,NA,NA,NA
"ENSG00000266929",0,NA,NA,NA,NA,NA
"ENSG00000266928",0,NA,NA,NA,NA,NA
"ENSG00000266925",0,NA,NA,NA,NA,NA
"ENSG00000266924",0,NA,NA,NA,NA,NA
"ENSG00000254698",0,NA,NA,NA,NA,NA
"ENSG00000254699",0,NA,NA,NA,NA,NA
"ENSG00000266921",1.93343507530701,0.34591222789848,1.58282099167965,0.218541597386452,0.827007151451844,NA
"ENSG00000266920",0,NA,NA,NA,NA,NA
"ENSG00000257343",0,NA,NA,NA,NA,NA
"ENSG00000257342",0,NA,NA,NA,NA,NA
"ENSG00000257341",0,NA,NA,NA,NA,NA
"ENSG00000215867",0,NA,NA,NA,NA,NA
"ENSG00000257346",0,NA,NA,NA,NA,NA
"ENSG00000257345",0,NA,NA,NA,NA,NA
"ENSG00000234337",0,NA,NA,NA,NA,NA
"ENSG00000215861",7.72584243082653,-1.03227159573917,1.30298293104619,-0.792237235917083,0.428222360669009,0.999494009608159
"ENSG00000119509",6.22777460919007,-1.33237999816134,1.31770765429899,-1.01113474890616,0.311951940891646,0.957175340964124
"ENSG00000228949",0,NA,NA,NA,NA,NA
"ENSG00000256699",0,NA,NA,NA,NA,NA
"ENSG00000256694",0.5,-1.02227063126109,1.417311339635,-0.721274572970224,0.470740597953007,NA
"ENSG00000256695",0,NA,NA,NA,NA,NA
"ENSG00000228943",0,NA,NA,NA,NA,NA
"ENSG00000267733",0,NA,NA,NA,NA,NA
"ENSG00000228940",0,NA,NA,NA,NA,NA
"ENSG00000165309",0,NA,NA,NA,NA,NA
"ENSG00000281863",0,NA,NA,NA,NA,NA
"ENSG00000165304",6.16306054848142,1.44801309923449,1.40014560957041,1.0341875083112,0.301048512772303,0.943997321121785
"ENSG00000165300",0,NA,NA,NA,NA,NA
"ENSG00000266469",4.23835299030428,-0.371295041842125,1.43363512766256,-0.258988521331431,0.795644097066923,NA
"ENSG00000101608",341.233781340471,0.0844552696595106,0.664403903158736,0.127114349054829,0.898849894686355,0.999494009608159
"ENSG00000101605",9.78988596571287,-4.85913326604219,1.43586355316685,-3.38411909357625,0.000714070226381128,0.0222860436085369
"ENSG00000170100",5.08633729717002,-0.399752836934868,1.35855715476983,-0.29424808189435,0.768568341953181,0.999494009608159
"ENSG00000237026",0,NA,NA,NA,NA,NA
"ENSG00000187900",0,NA,NA,NA,NA,NA
"ENSG00000198791",49.8773278845601,0.821581298992229,0.791265047664687,1.03831364903204,0.299124056275099,0.941875342032594
"ENSG00000198792",50.2587091088674,-0.710755839104507,0.782850218945533,-0.907907824387998,0.363926923361798,0.979147788695855
"ENSG00000198793",23.3452598926799,-0.715755043354224,0.954114226593444,-0.750177519006027,0.453147796636022,0.999494009608159
"ENSG00000198794",7.6948884956766,-0.653767185674755,1.37814657038133,-0.474381462556527,0.635227909714103,0.999494009608159
"ENSG00000198795",12.3885851637178,-2.00499169076684,1.2249735148854,-1.63676329847377,0.101679937163449,0.61364269775876
"ENSG00000198796",0.754602226813023,-1.10743241157646,1.4383403884732,-0.769937645116123,0.441336881836265,NA
"ENSG00000198797",6.4152980257516,3.77900296057095,1.53757247840423,2.45777224400699,0.0139801803763663,0.181329580061151
"ENSG00000231426",0.83699633351897,1.11810363673881,1.44175421853185,0.775516119437735,0.438034744199122,NA
"ENSG00000197776",8.64626703121288,-1.51762114216745,1.21521682292983,-1.2488480356193,0.211720660841263,0.854718531249282
"ENSG00000231424",0,NA,NA,NA,NA,NA
"ENSG00000175550",61.4658139283665,-0.0300129187820644,0.793442172894646,-0.037826220747217,0.969826238195747,0.999494009608159
"ENSG00000231422",0,NA,NA,NA,NA,NA
"ENSG00000175556",0.75,-1.10639143813029,1.4381045773277,-0.769340043535774,0.441691471393665,NA
"ENSG00000197771",46.2605484833784,-0.254623112002816,0.798320654289572,-0.318948420831485,0.749765625757016,0.999494009608159
"ENSG00000231421",0,NA,NA,NA,NA,NA
"ENSG00000279848",0,NA,NA,NA,NA,NA
"ENSG00000161682",2.71550200435535,0.12645009260829,1.55400590991484,0.0813704065097274,0.935147383232324,NA
"ENSG00000240173",0,NA,NA,NA,NA,NA
"ENSG00000161681",0,NA,NA,NA,NA,NA
"ENSG00000279840",0,NA,NA,NA,NA,NA
"ENSG00000279841",0,NA,NA,NA,NA,NA
"ENSG00000279842",0,NA,NA,NA,NA,NA
"ENSG00000279844",0,NA,NA,NA,NA,NA
"ENSG00000279845",0,NA,NA,NA,NA,NA
"ENSG00000279846",0,NA,NA,NA,NA,NA
"ENSG00000279847",0,NA,NA,NA,NA,NA
"ENSG00000284336",0,NA,NA,NA,NA,NA
"ENSG00000284337",1.00306815120868,-1.50637701336215,1.52688547853546,-0.986568432628629,0.323854251936406,NA
"ENSG00000284334",0,NA,NA,NA,NA,NA
"ENSG00000076321",10.2352743768324,-0.191151058362846,1.1452243365804,-0.166911453290992,0.867439721149286,0.999494009608159
"ENSG00000284332",0,NA,NA,NA,NA,NA
"ENSG00000284331",0,NA,NA,NA,NA,NA
"ENSG00000183864",41.1919830088481,-0.45425790049903,0.819654774738759,-0.554206373828313,0.579437616732684,0.999494009608159
"ENSG00000183862",0,NA,NA,NA,NA,NA
"ENSG00000277402",0.278998777839657,0.863391376245985,1.36982296785322,0.630294130342325,0.528502162593717,NA
"ENSG00000124216",2.84159856033199,-0.785580450331947,1.54751946382975,-0.507638494179465,0.611706889549194,NA
"ENSG00000124217",5.16452727982215,-0.368400354230942,1.36395214489621,-0.27009771245235,0.787085081931722,0.999494009608159
"ENSG00000124214",60.711032082343,-0.226247820914905,0.770510320909732,-0.293633731794503,0.769037797196386,0.999494009608159
"ENSG00000124215",2.09466671154068,-0.303691049548876,1.58722836036245,-0.191334188030465,0.848263777668367,NA
"ENSG00000124212",387.310952078479,2.4878915306258,0.709554810861533,3.50627110484254,0.000454432104493164,0.0157370460295715
"ENSG00000247596",84.295390817034,0.0196625937789058,0.74245597376095,0.0264831780924381,0.978871950831508,0.999494009608159
"ENSG00000247595",2.9795581289108,-0.696946209835511,1.49890650013775,-0.464969769476254,0.64195310550864,NA
"ENSG00000161970",939.627387897221,0.726462504342978,0.675193713438091,1.07593197312787,0.281957681261392,0.930860149046089
"ENSG00000175073",21.1241100118767,-0.366025994020996,0.946089240850265,-0.386883158814958,0.698842709506223,0.999494009608159
"ENSG00000161973",0,NA,NA,NA,NA,NA
"ENSG00000255279",0,NA,NA,NA,NA,NA
"ENSG00000255275",0,NA,NA,NA,NA,NA
"ENSG00000255274",0,NA,NA,NA,NA,NA
"ENSG00000255277",0.25,-0.852807347300044,1.36274813213915,-0.625799681678054,0.531446340663414,NA
"ENSG00000255276",0,NA,NA,NA,NA,NA
"ENSG00000255271",0,NA,NA,NA,NA,NA
"ENSG00000255270",0,NA,NA,NA,NA,NA
"ENSG00000255273",0,NA,NA,NA,NA,NA
"ENSG00000255272",0,NA,NA,NA,NA,NA
"ENSG00000277903",0,NA,NA,NA,NA,NA
"ENSG00000239670",0,NA,NA,NA,NA,NA
"ENSG00000160087",24.8739394014973,-0.0190841245813965,0.920195224374975,-0.0207392128060206,0.983453688443362,0.999494009608159
"ENSG00000036054",26.1190647516212,-0.0452979650180202,0.92956303483786,-0.0487303854825954,0.961134160520533,0.999494009608159
"ENSG00000104903",10.7537177525046,-0.278833310719661,1.3155293771716,-0.211955214044064,0.832141974451591,0.999494009608159
"ENSG00000228349",0,NA,NA,NA,NA,NA
"ENSG00000223019",0,NA,NA,NA,NA,NA
"ENSG00000002587",3.68982184905089,3.27723325456568,1.55977255813166,2.10109687946506,0.0356324627823205,NA
"ENSG00000002586",245.405640054417,-0.462882730577271,0.710435675479531,-0.651547700310565,0.514692995865447,0.999494009608159
"ENSG00000277379",0.25,-0.852807347300044,1.36274813213915,-0.625799681678054,0.531446340663414,NA
"ENSG00000231013",0,NA,NA,NA,NA,NA
"ENSG00000237868",0,NA,NA,NA,NA,NA
"ENSG00000177954",1461.83429333364,1.92177151212651,0.711577043350291,2.70072162963311,0.00691892213921582,0.116606901119584
"ENSG00000177951",58.1121608205265,0.863612008180546,0.771096289617047,1.11997946275872,0.262722513891065,0.920826940587147
"ENSG00000280059",0,NA,NA,NA,NA,NA
"ENSG00000280058",0,NA,NA,NA,NA,NA
"ENSG00000198242",846.542227053629,0.794014176204306,0.718785517683634,1.10466078777311,0.269306600435222,0.924005274023129
"ENSG00000280056",0,NA,NA,NA,NA,NA
