""                 "baseMean"         "log2FoldChange"       "lfcSE"            "stat"                 "pvalue"              "padj"
"ENSG00000282222"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000282221"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000212040"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000110514"  31.4527283657085   0.16332072805397       0.866862622935571  0.188404395036546      0.850559654652437     0.999838284898011
"ENSG00000086015"  24.8563131760391   0.14841577440129       1.0015397749556    0.148187598847853      0.882194718449548     0.999838284898011
"ENSG00000211769"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000211768"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000250337"  0.75               -1.11008830643767      1.44245171088193   -0.769584380581413     0.441546473211556     NA
"ENSG00000255071"  6.49229307037792   0.478544984523653      1.42741917596095   0.33525189557685       0.737435077763055     0.999838284898011
"ENSG00000211767"  0.281124220529969  0.868835770998757      1.37480329764506   0.63197096812832       0.527405848007029     NA
"ENSG00000211766"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000211765"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000211764"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000201510"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000169740"  47.1197979129705   0.176313749090508      0.828300769513786  0.212861988760441      0.831434611471064     0.999838284898011
"ENSG00000215869"  0.25               -0.855266917860253     1.36709826282933   -0.625607493707295     0.531572422357683     NA
"ENSG00000261609"  7.26202837470472   -0.232538722210896     1.27182172634224   -0.182839086166327     0.854924279200815     0.999838284898011
"ENSG00000169744"  42.7813373733638   -4.62861501756595      0.99873419754578   -4.6344813554397       3.57833481830584e-06  0.000329385720025053
"ENSG00000261607"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000261606"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000215866"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000261604"  2.2121750856082    0.530975279810381      1.58070369734582   0.335910696420809      0.736938210701988     NA
"ENSG00000261603"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000261602"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000261600"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000251074"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000168298"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000255070"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000168297"  20.2909864992894   0.827994276067856      0.968167890587519  0.855217658133032      0.392430662331851     0.999838284898011
"ENSG00000266460"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000266461"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000266466"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000233578"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000168291"  76.4920346031292   0.653621182437188      0.728305184590261  0.8974550727727        0.36947613661645      0.990116451699776
"ENSG00000262558"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000270591"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000262554"  1.5                -1.96888623526846      1.57737920779674   -1.24820095607737      0.211957473930103     NA
"ENSG00000254141"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000225108"  0.25               -0.855266917860253     1.36709826282933   -0.625607493707295     0.531572422357683     NA
"ENSG00000225100"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000225101"  0.843372661589906  1.12422743659265       1.4464387205867    0.777238206217708      0.437018244916452     NA
"ENSG00000225102"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000225105"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000225106"  1.03112422052997   -0.49344296964382      1.51819392902879   -0.325019722585429     0.745166144906346     NA
"ENSG00000225107"  0.412534949345529  0.980971711963575      1.41086714043019   0.695297015468418      0.486869184255752     NA
"ENSG00000226457"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000226455"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000226454"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000149792"  37.1032944687583   0.188649971434523      0.84905714129752   0.222187603470633      0.824167843945108     0.999838284898011
"ENSG00000226450"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000141854"  3.93695847601367   0.46047463829742       1.50555057907674   0.30585132422439       0.75971784862532      NA
"ENSG00000149798"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000238419"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000283571"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000212153"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000183055"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000183054"  11.9561138502479   -0.201996244071415     1.16504278533598   -0.173380966445075     0.86235198510526      0.999838284898011
"ENSG00000283575"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000283576"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000283579"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000283578"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000181562"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000250566"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000259244"  0.5                -1.02550367550925      1.42166178129196   -0.721341523704256     0.470699415056661     NA
"ENSG00000250564"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000250565"  3.06267474672764   0.592485939879733      1.57857273162935   0.375330149829832      0.707414946065884     NA
"ENSG00000250562"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000250563"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000187961"  6.84300588433122   1.36502037334432       1.38281134257847   0.987134203570409      0.323576852026034     0.969977876729356
"ENSG00000250561"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000250568"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000250569"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000281591"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000162840"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000162843"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000168484"  3.97520969607317   0.444817349320864      1.55576953680879   0.285914680032415      0.774943469849973     NA
"ENSG00000162849"  2.2306910013409    2.52000831862041       1.5903600359272    1.58455208989907       0.113068137683303     NA
"ENSG00000283689"  0.618802424018293  1.06979771171814       1.4341121945058    0.745965145416531      0.455688470253295     NA
"ENSG00000149243"  9.02810551324922   1.33881436054475       1.38521042781808   0.966506123299684      0.333790984382096     0.974546546173762
"ENSG00000184702"  5.66253494934553   -2.46787012586263      1.4504542901992    -1.70144632791131      0.0888592081809917    0.574287169422488
"ENSG00000259242"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000283683"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000283682"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000283680"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000283686"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000184708"  12.7115951555157   -0.452942131038329     1.09128143231305   -0.415055289704952     0.678101428653936     0.999838284898011
"ENSG00000184709"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000206811"  0.281124220529969  0.868835770998757      1.37480329764506   0.63197096812832       0.527405848007029     NA
"ENSG00000163462"  12.8525954818477   2.58218828123012       1.24597587885536   2.0724223679212        0.0382260691576385    0.345940557046691
"ENSG00000163463"  77.3656431663034   0.717414910936301      0.833112760631155  0.861125822142968      0.389168748718243     0.999838284898011
"ENSG00000163464"  2.5                -2.70414562261168      1.58779396378945   -1.70308345054917      0.0885524525398302    NA
"ENSG00000163466"  280.062894833934   0.323039647841475      0.640155784364279  0.504626617038659      0.613821111353327     0.999838284898011
"ENSG00000163467"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000163468"  154.995055637593   0.954964765947652      0.699177938982089  1.36583938466073       0.171989381611882     0.784856082048509
"ENSG00000206813"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000162599"  63.1598484517167   -1.04694942912193      0.767743249300141  -1.36367129255296      0.172671043040743     0.786293898115213
"ENSG00000162598"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000267731"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000272386"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000162591"  93.9943685374936   2.63595515353051       0.761320002775703  3.4623484788526        0.000535483332642077  0.0179826882273955
"ENSG00000267732"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000267735"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000029363"  44.8966006884178   -0.521413740814516     0.807546603042864  -0.645676347160412     0.518488981754761     0.999838284898011
"ENSG00000267737"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000162594"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000263609"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000263608"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000206817"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000118640"  82.428188109405    1.82171507720941       0.835378659876737  2.180705786138         0.0292051848069198    0.28862516610949
"ENSG00000263600"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000263603"  0.562248441059937  1.04049169950825       1.42689885997507   0.729197933150233      0.465880595333041     NA
"ENSG00000263602"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000263604"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000159961"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000259169"  1.72478339040547   0.203499428354724      1.58422071543931   0.128453962488613      0.897789728931226     NA
"ENSG00000253144"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000253147"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000201466"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000253141"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000115073"  48.3339854700992   -0.231800693541453     0.788999461011269  -0.29379068680776      0.768917852060175     0.999838284898011
"ENSG00000253143"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000253142"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000259161"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000259160"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000259163"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000259162"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000259165"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000253148"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000259167"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000259166"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000213853"  51.0859384132107   -1.64723970900588      0.793626485292397  -2.07558560548668      0.0379322938887493    0.344209383512179
"ENSG00000213851"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000258590"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000213857"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000213856"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000213854"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000213859"  19.0865183433032   -0.459501623032383     1.00038248930002   -0.459325935776726     0.64600012569284      0.999838284898011
"ENSG00000225816"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000280881"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000225814"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000225815"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000225813"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000225811"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000206846"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000225818"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000225819"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000229306"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000229307"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000229305"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000229302"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000229303"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000238489"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000229301"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000238485"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000269911"  1.34337266158991   0.293478606324222      1.56020913448131   0.188102094673218      0.850796619096599     NA
"ENSG00000238482"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000229308"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000229309"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000278072"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000278073"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000278071"  0.618802424018293  1.06979771171814       1.4341121945058    0.745965145416531      0.455688470253295     NA
"ENSG00000240174"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000278077"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000278075"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000055070"  99.543983712954    0.57184253939437       0.710046507139234  0.805359273857025      0.420612386123616     0.999838284898011
"ENSG00000278078"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000227411"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000155719"  0.75               -1.11008830643767      1.44245171088193   -0.769584380581413     0.441546473211556     NA
"ENSG00000227413"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000227416"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000227417"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000162337"  61.9406404625948   -2.60274736467093      0.953678219688023  -2.72916725048242      0.00634944919737589   0.110425575987292
"ENSG00000155714"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000182010"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000182013"  15.966342906266    2.33146272081322       1.18205117365392   1.97238729826415       0.048565410713524     0.401708888231826
"ENSG00000244748"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000186704"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000251779"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000251774"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000251595"  2.61880242401829   -0.96764662257861      1.56403318638429   -0.618686758696981     0.536122734713163     NA
"ENSG00000251776"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000274978"  0.25               -0.855266917860253     1.36709826282933   -0.625607493707295     0.531572422357683     NA
"ENSG00000251770"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000245293"  0.75               -1.11008830643767      1.44245171088193   -0.769584380581413     0.441546473211556     NA
"ENSG00000251773"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000164659"  19.7054743917464   -2.08498216253949      1.03527349063868   -2.01394335061475      0.0440154814528603    0.378656548386523
"ENSG00000242748"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000242747"  0.75               -1.11008830643767      1.44245171088193   -0.769584380581413     0.441546473211556     NA
"ENSG00000164651"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000242741"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000164654"  22.9785249053956   0.10828909779778       0.94143985155868   0.115024977558039      0.908425324212032     0.999838284898011
"ENSG00000114978"  81.7019602435843   0.142363890730028      0.742961303078812  0.191616831374765      0.848042357293358     0.999838284898011
"ENSG00000252236"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000252237"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000252230"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000252231"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000252233"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000252238"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000256925"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000161021"  8.44977993364479   -0.880543171262912     1.23003239564504   -0.715869902598092     0.474071684335391     0.999838284898011
"ENSG00000256922"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000256923"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000226331"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000261608"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000256928"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000254694"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000254695"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000254697"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000254690"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000254691"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000266929"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000266928"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000266925"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000266924"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000254698"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000254699"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000266921"  2.00590761093544   0.391704386493223      1.5869950476696    0.246821429637362      0.805046425040689     NA
"ENSG00000266920"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000257343"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000257342"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000257341"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000215867"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000257346"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000257345"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000234337"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000215861"  6.69956678081093   -0.988181483283211     1.34390733615172   -0.735304776379052     0.462153899943036     0.999838284898011
"ENSG00000119509"  6.2121750856082    -1.31562288522731      1.33163292424236   -0.987977137900701     0.323163845001993     0.969642018752196
"ENSG00000228949"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000256699"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000256694"  0.5                -1.02550367550925      1.42166178129196   -0.721341523704257     0.47069941505666      NA
"ENSG00000256695"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000228943"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000228941"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000228940"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000165309"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000281863"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000165304"  6.16216817208684   1.43702514065105       1.41260881554363   1.01728456232098       0.309018078369005     0.962700586050163
"ENSG00000165300"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000266469"  4.22499654323932   -0.365081562178241     1.44690546445519   -0.252318877180899     0.800794598191994     0.999838284898011
"ENSG00000101608"  341.106888153692   0.0854783658954538     0.656298904268963  0.130243042216665      0.896374141815332     0.999838284898011
"ENSG00000101605"  10                 -4.86959783814547      1.43968415528793   -3.38240705106015      0.000718535889889901  0.0222590673389691
"ENSG00000170100"  5.08097750962649   -0.392648943934985     1.37292979378218   -0.285993461365061     0.774883129571107     0.999838284898011
"ENSG00000237026"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000187900"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000198791"  51.1571024256788   0.852930583825673      0.788914935294224  1.08114391763616       0.279633100291948     0.938180700448222
"ENSG00000198792"  50.2273650452105   -0.617120410059229     0.783073311202171  -0.788074885494219     0.430652904415373     0.999838284898011
"ENSG00000198793"  23.2984802760776   -0.706885490855037     0.960164323943145  -0.736213034818918     0.461601060837102     0.999838284898011
"ENSG00000198794"  7.68147717074594   -0.651660611064192     1.38999038143423   -0.468823827681304     0.639195566756281     0.999838284898011
"ENSG00000198795"  12.7689422214004   -1.77037612443714      1.23385695593044   -1.43483093070713      0.151335281553642     0.738329560143875
"ENSG00000198796"  0.75               -1.11008830643767      1.44245171088193   -0.769584380581413     0.441546473211556     NA
"ENSG00000198797"  6.3942917148557    3.74377926671262       1.54426154272571   2.4243168421488        0.0153372177334986    0.196471893570175
"ENSG00000231426"  0.843372661589906  1.12422743659265       1.4464387205867    0.777238206217708      0.437018244916452     NA
"ENSG00000197776"  8.62471003495373   -1.50420691694461      1.22846918480871   -1.22445636858107      0.220780116103281     0.86692366915766
"ENSG00000231424"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000175550"  61.5305335436294   -0.000239403603545225  0.798229547197588  -0.000299918243299461  0.999760699867756     0.999838284898011
"ENSG00000231422"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000175556"  0.75               -1.11008830643767      1.44245171088193   -0.769584380581413     0.441546473211556     NA
"ENSG00000197771"  47.6346318421221   -0.330920515186072     0.795456024816688  -0.416013588258801     0.677400060065241     0.999838284898011
"ENSG00000231421"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000279848"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000161682"  2.7121750856082    0.131977970130085      1.56299719821818   0.0844390318041133     0.932707375188527     NA
"ENSG00000240173"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000161681"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000279840"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000279841"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000279842"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000279844"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000279845"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000279846"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000279847"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000284336"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000284337"  1                  -1.45764342658345      1.52168190836817   -0.957915986624703     0.33810512442141      NA
"ENSG00000284334"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000076321"  10.7242034603129   -0.29093279104389      1.14664921864472   -0.253724318050605     0.799708545602027     0.999838284898011
"ENSG00000284332"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000284331"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000183864"  42.6226034674174   -0.466334819083232     0.814685360864074  -0.572410947201293     0.567043601126449     0.999838284898011
"ENSG00000183862"  0                  NA                     NA                 NA                     NA                    NA
"ENSG00000277402"  0.987391695202733  -0.0177822697757932    1.5720244301356    -0.0113117006548424    0.990974761161583     NA
"ENSG00000124216"  2.84337266158991   -0.765754286208609     1.55681329987811   -0.491872908760841     0.62280919098455      NA
"ENSG00000124217"  5.43695847601367   -0.230373962457531     1.36338971204648   -0.168971468995269     0.86581908312389      0.999838284898011
"ENSG00000124214"  61.3435750676157   -0.207783114639548     0.765819910967626  -0.271321118273108     0.786144065406823     0.999838284898011
"ENSG00000124215"  2.09337266158991   -0.288250269566021     1.59031664827747   -0.181253381128995     0.85616869633801      NA
"ENSG00000124212"  391.576870106483   2.50069592772134       0.701408183200456  3.56525057393957       0.000363508725295228  0.013048849423063
"ENSG00000247596"  83.804436668614    0.042085443919032      0.740621315981922  0.0568245107329038     0.954684988739902     0.999838284898011
"ENSG00000247595"  3.47478339040547   -0.930867550105744     1.47781395190883   -0.62989495322018      0.528763315037105     NA
"ENSG00000161970"  905.558424120718   0.747442817737276      0.666116439829626  1.12209033292806       0.261824033737197     0.923038542413345
