"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000203497",2.12213141377599,0.0649982151101727,1.58722761514649,0.0409507839265849,0.967335131656695,NA
"ENSG00000213176",0,NA,NA,NA,NA,NA
"ENSG00000213177",0,NA,NA,NA,NA,NA
"ENSG00000213170",0,NA,NA,NA,NA,NA
"ENSG00000213171",0,NA,NA,NA,NA,NA
"ENSG00000213172",0,NA,NA,NA,NA,NA
"ENSG00000225116",0,NA,NA,NA,NA,NA
"ENSG00000092098",15.244308220079,0.118570056717978,1.02910601267123,0.115216562004344,0.908273471517759,0.999494009608159
"ENSG00000247228",0,NA,NA,NA,NA,NA
"ENSG00000205791",1.26647672888854,0.287398839069827,1.58644708410558,0.181158793097633,0.856242937725211,NA
"ENSG00000205790",0,NA,NA,NA,NA,NA
"ENSG00000092096",6.16389122241992,0.225520913839349,1.34756576198057,0.167354291866166,0.867091287698006,0.999494009608159
"ENSG00000205795",4.79021424356623,-0.0932165715692778,1.382236439652,-0.0674389481388197,0.946232263618146,0.999494009608159
"ENSG00000205794",0,NA,NA,NA,NA,NA
"ENSG00000207328",0,NA,NA,NA,NA,NA
"ENSG00000207329",0,NA,NA,NA,NA,NA
"ENSG00000211445",1496.81235118011,-5.4298296701177,0.93818924962887,-5.78756330054478,7.14147791461889e-09,1.47980788263578e-06
"ENSG00000207320",0,NA,NA,NA,NA,NA
"ENSG00000207321",0,NA,NA,NA,NA,NA
"ENSG00000207322",0,NA,NA,NA,NA,NA
"ENSG00000207323",0,NA,NA,NA,NA,NA
"ENSG00000207325",0,NA,NA,NA,NA,NA
"ENSG00000211448",0.620835292814671,1.06574438673381,1.42983653162772,0.74536099977846,0.456053514008323,NA
"ENSG00000207327",0,NA,NA,NA,NA,NA
"ENSG00000207149",0,NA,NA,NA,NA,NA
"ENSG00000201273",0,NA,NA,NA,NA,NA
"ENSG00000252768",0,NA,NA,NA,NA,NA
"ENSG00000259555",0,NA,NA,NA,NA,NA
"ENSG00000216642",0,NA,NA,NA,NA,NA
"ENSG00000189182",0,NA,NA,NA,NA,NA
"ENSG00000156671",38.9770267386846,-1.11675782676072,0.903348425009282,-1.23624262338117,0.216368391475955,0.861384714411362
"ENSG00000156675",4.96549051488198,-0.874636414217458,1.45313303342514,-0.601897000549135,0.547242700962971,0.999494009608159
"ENSG00000095370",18.1925502329329,-3.06645580361347,1.14792019021807,-2.67131446048609,0.00755548289168148,0.12244981733339
"ENSG00000258206",0,NA,NA,NA,NA,NA
"ENSG00000258205",0,NA,NA,NA,NA,NA
"ENSG00000163807",12.8347812698291,-0.531796101138285,1.08584126088708,-0.489754921178654,0.624307333084055,0.999494009608159
"ENSG00000207492",0,NA,NA,NA,NA,NA
"ENSG00000255173",0,NA,NA,NA,NA,NA
"ENSG00000255170",0,NA,NA,NA,NA,NA
"ENSG00000255171",0,NA,NA,NA,NA,NA
"ENSG00000255176",0,NA,NA,NA,NA,NA
"ENSG00000255177",0,NA,NA,NA,NA,NA
"ENSG00000276713",0,NA,NA,NA,NA,NA
"ENSG00000255175",0,NA,NA,NA,NA,NA
"ENSG00000112110",34.6975052055998,-0.300677141267121,0.845320033966195,-0.355696220585664,0.722068075713039,0.999494009608159
"ENSG00000255178",0,NA,NA,NA,NA,NA
"ENSG00000123342",22.2640237105556,-1.44949499265663,0.962215548597681,-1.50641401998658,0.131960923846209,0.694126540747431
"ENSG00000252760",0,NA,NA,NA,NA,NA
"ENSG00000206722",0,NA,NA,NA,NA,NA
"ENSG00000231476",0,NA,NA,NA,NA,NA
"ENSG00000252766",0,NA,NA,NA,NA,NA
"ENSG00000056558",9.79893129843287,-0.832267806201417,1.20749078849874,-0.689253958811697,0.490663466013746,0.999494009608159
"ENSG00000227842",0,NA,NA,NA,NA,NA
"ENSG00000227841",0,NA,NA,NA,NA,NA
"ENSG00000178852",3.34312114646297,-0.912501259001088,1.56434105838403,-0.583313500665707,0.559682275725871,NA
"ENSG00000252999",0,NA,NA,NA,NA,NA
"ENSG00000227846",0,NA,NA,NA,NA,NA
"ENSG00000227845",0,NA,NA,NA,NA,NA
"ENSG00000167139",0,NA,NA,NA,NA,NA
"ENSG00000167136",11.641323583641,1.15727662550085,1.14277291568073,1.01269168145404,0.311207452454257,0.957175340964124
"ENSG00000252994",0,NA,NA,NA,NA,NA
"ENSG00000143006",0,NA,NA,NA,NA,NA
"ENSG00000116539",23.9502545140082,-1.09712226761694,0.980753203357569,-1.11865274960202,0.26328831026203,0.920826940587147
"ENSG00000252991",0,NA,NA,NA,NA,NA
"ENSG00000143001",0,NA,NA,NA,NA,NA
"ENSG00000167130",9.29198730102373,0.0711283359419308,1.21351796591532,0.0586133357228714,0.953260088575007,0.999494009608159
"ENSG00000167131",0.83699633351897,1.11810363673881,1.44175421853185,0.775516119437735,0.438034744199122,NA
"ENSG00000128872",10.0349414909309,-0.684929809253881,1.29606241020343,-0.528469774188091,0.5971733205121,0.999494009608159
"ENSG00000212551",0,NA,NA,NA,NA,NA
"ENSG00000225579",0,NA,NA,NA,NA,NA
"ENSG00000225578",0.20694509760489,0.805234748916017,1.34738122109623,0.597629487711633,0.550087184082808,NA
"ENSG00000212550",0,NA,NA,NA,NA,NA
